"filename", "language", "Ignore", "CMake", "PL/SQL", "Docker", "C++", "Markdown", "Log", "CSV", "XML", "C", "Makefile", "Shell Script", "YAML", "comment", "blank", "total"
"d:\Programming\web\tuongtac\backend\.dockerignore", "Ignore", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Programming\web\tuongtac\backend\CMakeLists.txt", "CMake", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 132
"d:\Programming\web\tuongtac\backend\Dockerfile", "Docker", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"d:\Programming\web\tuongtac\backend\README.md", "Markdown", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 16, 53
"d:\Programming\web\tuongtac\backend\azure-pipelines.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 4, 2, 94
"d:\Programming\web\tuongtac\backend\data_sql\booking_element.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Programming\web\tuongtac\backend\data_sql\booking_service.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Programming\web\tuongtac\backend\data_sql\import_booking_service.log", "Log", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 17, 58
"d:\Programming\web\tuongtac\backend\data_sql\import_data.log", "Log", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 17, 59
"d:\Programming\web\tuongtac\backend\data_sql\load.log", "Log", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 17, 60
"d:\Programming\web\tuongtac\backend\data_sql\server.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"d:\Programming\web\tuongtac\backend\data_sql\server.log", "Log", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 16, 62
"d:\Programming\web\tuongtac\backend\import_booking_service.log", "Log", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\Programming\web\tuongtac\backend\include\bac_lib\CMakeLists.txt", "CMake", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"d:\Programming\web\tuongtac\backend\include\bac_lib\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\admin\oraaccess.xsd", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 262, 0, 0, 0, 0, 20, 26, 308
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\cdemo81.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 396, 0, 0, 0, 92, 75, 563
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\demo.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 45, 24, 129
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\occidemo.sql", "PL/SQL", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 50, 251
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\occidemod.sql", "PL/SQL", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 64
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\occidml.cpp", "C++", 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 35, 50, 357
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\occiobj.cpp", "C++", 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 25, 37, 259
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\demo\oraaccess.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 21, 3, 43
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\jzndom.h", "C++", 0, 0, 0, 0, 874, 0, 0, 0, 0, 0, 0, 0, 0, 3296, 418, 4588
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\jznerr.h", "C++", 0, 0, 0, 0, 581, 0, 0, 0, 0, 0, 0, 0, 0, 278, 53, 912
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\jznev.h", "C++", 0, 0, 0, 0, 565, 0, 0, 0, 0, 0, 0, 0, 0, 1469, 240, 2274
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\jznotn.h", "C++", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 41
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\jzntypes.h", "C++", 0, 0, 0, 0, 476, 0, 0, 0, 0, 0, 0, 0, 0, 365, 67, 908
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\ldap.h", "C++", 0, 0, 0, 0, 852, 0, 0, 0, 0, 0, 0, 0, 0, 146, 197, 1195
